N,CritInt,LogGammaCrit
10,0.12589254117941676,-0.8999999999999999
15,0.05011872336272725,-1.2999999999999998
20,0.03548133892335755,-1.45
25,0.0199526231496888,-1.7
30,0.015848931924611134,-1.8
