N,CritInt,LogGammaCrit
10,0.5011872336272725,-0.2999999999999998
15,0.707945784384138,-0.14999999999999994
20,1.2589254117941675,0.1000000000000001
25,1.7782794100389228,0.25
30,1.9952623149688808,0.30000000000000027
