N,CritInt,LogAlphaCrit
10,0.01584893192461114,-1.7999999999999998
15,0.008912509381337459,-2.05
20,0.00630957344480193,-2.2
25,0.005011872336272725,-2.3
30,0.003981071705534973,-2.4
