N,CritInt,LogBetaCrit
10,0.08912509381337459,-1.0499999999999998
15,0.11220184543019636,-0.95
20,0.08912509381337459,-1.0499999999999998
25,0.07943282347242814,-1.1
30,0.08912509381337459,-1.0499999999999998
